label,200~Jaro-Winkler,200~BiGrams,200~TriGrams,200~Metaphone,201~Jaro-Winkler,201~BiGrams,201~TriGrams,201~Metaphone,202~Jaro-Winkler,202~BiGrams,202~TriGrams,202~Metaphone,203~Jaro-Winkler,203~BiGrams,203~TriGrams,203~Metaphone,204~Jaro-Winkler,204~BiGrams,204~TriGrams,204~Metaphone,205~Jaro-Winkler,205~BiGrams,205~TriGrams,205~Metaphone,206~PercentMatched,207~Jaro-Winkler,207~BiGrams,207~TriGrams,207~Metaphone,208~Jaro-Winkler,208~BiGrams,208~TriGrams,208~Metaphone,210~IsSameValue,211~IsSameValue,212~AreaMatching,213~AreaMatching
0,1,1,1,1,1,1,1,1,1,1,1,1,0.608134921,0.069444444,0,0.701388889,0.531944444,0.035714286,0,0.6,0.618350168,0.1,0.071428571,0.361111111,0,0.511994949,0.03125,0,0.572222222,0.425925926,0,0,0,0,0,0.036363636,0.523148148
0,1,1,1,1,1,1,1,1,1,1,1,1,0.525396825,0.027777778,0,0.575396825,0.490079365,0.026315789,0,0.511507937,0.606944444,0.112012987,0.041666667,0.683333333,0.666666667,0.754761905,0.161111111,0.107142857,0.771111111,0.344444444,0,0,0.527777778,0,0,0.036363636,0.616931217
0,1,1,1,1,1,1,1,1,1,1,1,1,0.608134921,0.069444444,0,0.701388889,0.531944444,0.035714286,0,0.6,0.618350168,0.1,0.071428571,0.361111111,0,0.511994949,0.03125,0,0.572222222,0.425925926,0,0,0,0,0,0.036363636,0.538461538
0,0.87037037,0.714285714,0.666666667,0.861111111,0.75,0.75,0.75,0.75,1,1,1,1,0.691269841,0.119949495,0,0.754166667,0.534722222,0.075,0,0.538888889,0.559656085,0.027777778,0,0.377777778,0,0.428333333,0.125,0.1,0.7,0.416666667,0,0,0,0,0,0.036363636,0.55308642
0,0.666666667,0.666666667,0.666666667,0.666666667,1,1,1,1,1,1,1,1,0.608134921,0.069444444,0,0.701388889,0.531944444,0.035714286,0,0.6,0.618350168,0.1,0.071428571,0.361111111,0,0.511994949,0.03125,0,0.572222222,0.425925926,0,0,0,0,0,0.036363636,0.647751323
0,1,1,1,1,1,1,1,1,1,1,1,1,0.608134921,0.069444444,0,0.701388889,0.531944444,0.035714286,0,0.6,0.618350168,0.1,0.071428571,0.361111111,0,0.511994949,0.03125,0,0.572222222,0.425925926,0,0,0,0,0,0.036363636,0.395833333
0,1,1,1,1,1,1,1,1,1,1,1,1,0.608134921,0.069444444,0,0.701388889,0.531944444,0.035714286,0,0.6,0.618350168,0.1,0.071428571,0.361111111,0,0.511994949,0.03125,0,0.572222222,0.425925926,0,0,0,0,0,0.036363636,0.685714286
0,1,1,1,1,1,1,1,1,1,1,1,1,0.608134921,0.069444444,0,0.701388889,0.531944444,0.035714286,0,0.6,0.618350168,0.1,0.071428571,0.361111111,0,0.511994949,0.03125,0,0.572222222,0.425925926,0,0,0,0,0,0.036363636,0.607142857
0,1,1,1,1,1,1,1,1,1,1,1,1,0.395833333,0,0,0.458333333,0.416666667,0,0,0.354166667,0.499611191,0.058080808,0,0.675925926,0,0.241161616,0.025,0,0.277777778,0.53968254,0,0,0.511111111,0,0,0.036363636,0.685714286
0,1,1,1,1,1,1,1,1,1,1,1,1,0.608134921,0.069444444,0,0.701388889,0.531944444,0.035714286,0,0.6,0.618350168,0.1,0.071428571,0.361111111,0,0.511994949,0.03125,0,0.572222222,0.425925926,0,0,0,0,0,0.036363636,0.685714286
